"Name.x","Beer_ID","ABV","IBU","Brew_ID","Style","Ounces","Name.y","City","State"
"Abbey's Single (2015- )",2505,0.049,22,58,"Abbey Single Ale",12,"Destihl Brewery","Bloomington"," IL"
"Abbey's Single Ale (Current)",1887,0.049,22,58,"Abbey Single Ale",12,"Destihl Brewery","Bloomington"," IL"
"Alaskan Amber",1920,0.053,18,271,"Altbier",12,"Alaskan Brewing Company","Juneau"," AK"
"Altus Bohemes Altbier",1597,0.053,36.5,365,"Altbier",12,"Bohemian Brewery","Midvale"," UT"
"Main St. Virginia Ale",2377,0.05,40,123,"Altbier",12,"Center of the Universe Brewing C...","Ashland"," VA"
"Main St. Virginia Ale",1248,0.05,40,123,"Altbier",12,"Center of the Universe Brewing C...","Ashland"," VA"
"Lighthouse Amber",2354,0.052,36.5,122,"Altbier",16,"Cheboygan Brewing Company","Cheboygan"," MI"
"Little Red Cap",2339,0.063,43,145,"Altbier",12,"Grimm Brothers Brewhouse","Loveland"," CO"
"Alteration",502,0.051,40,396,"Altbier",12,"Hops & Grain Brewery","Austin"," TX"
"Double Bag",1090,0.072,33,269,"Altbier",16,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"Long Trail Ale (1)",573,0.046,30,269,"Altbier",12,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"Occidental Altbier",1129,0.05,36.5,201,"Altbier",16,"Occidental Brewing Company","Portland"," OR"
"Tip Off",2605,0.052,29,26,"Altbier",16,"Sun King Brewing Company","Indianapolis"," IN"
"Loafin BrÃ¤u",936,0.055,36.5,491,"Altbier",16,"Tampa Bay Brewing Company","Tampa"," FL"
"Balt Altbier",582,0.06,36.5,72,"Altbier",12,"Union Craft Brewing","Baltimore"," MD"
"Lawnmower Lager",878,0.039,16,156,"American Adjunct Lager",12,"Caldera Brewing Company","Ashland"," OR"
"Underachiever",1039,0.05,9,474,"American Adjunct Lager",16,"Engine House 9","Tacoma"," WA"
"Joseph James American Lager",467,0.052,15,234,"American Adjunct Lager",12,"Joseph James Brewing Company","Henderson"," NV"
"Boxer",2276,0.05,9,135,"American Adjunct Lager",24,"Minhas Craft Brewery","Monroe"," WI"
"Boxer Ice",2274,0.055,9,135,"American Adjunct Lager",12,"Minhas Craft Brewery","Monroe"," WI"
"Boxer",2273,0.05,9,135,"American Adjunct Lager",12,"Minhas Craft Brewery","Monroe"," WI"
"Lazy Daze Lager",1280,0.055,9,230,"American Adjunct Lager",16,"Rochester Mills Brewing Company","Rochester"," MI"
"Lazy Daze Lager",97,0.055,9,230,"American Adjunct Lager",12,"Rochester Mills Brewing Company","Rochester"," MI"
"Point Special (Current)",2366,0.047,9,132,"American Adjunct Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"Point Special",2365,0.047,9,132,"American Adjunct Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"Point Special",2228,0.047,9,132,"American Adjunct Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"Point Special (2013)",2122,0.047,9,132,"American Adjunct Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"Point Special (2012)",2121,0.047,9,132,"American Adjunct Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"Point Special Lager",2115,0.047,9,132,"American Adjunct Lager",16,"Stevens Point Brewery","Stevens Point"," WI"
"Point Special Lager",138,0.047,9,132,"American Adjunct Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"Straub Beer (Current)",2369,0.05,9,130,"American Adjunct Lager",12,"Straub Brewery","St Mary's"," PA"
"American Lager",2233,0.041,8,130,"American Adjunct Lager",12,"Straub Brewery","St Mary's"," PA"
"Twisted X",2212,0.051,19,39,"American Adjunct Lager",12,"Twisted X Brewing Company","Dripping Springs"," TX"
"Rod Bender Red",2517,0.059,30.5,68,"American Amber / Red Ale",12,"3 Daughters Brewing","St Petersburg"," FL"
"Reprise Centennial Red",2288,0.06,30.5,61,"American Amber / Red Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Boont Amber Ale",1326,0.058,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Boont Amber Ale (2010)",811,0.058,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Boont Amber Ale (2011)",78,0.058,15,172,"American Amber / Red Ale",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Aslan Amber",1638,0.077,30.5,354,"American Amber / Red Ale",16,"Aslan Brewing Company","Bellingham"," WA"
"Old Red Beard Amber Ale",978,0.06,35,375,"American Amber / Red Ale",12,"Astoria Brewing Company","Astoria"," OR"
"Hot Rod Red",702,0.061,41,361,"American Amber / Red Ale",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Back East Ale",1131,0.05,30.5,236,"American Amber / Red Ale",12,"Back East Brewing Company","Bloomfield"," CT"
"Banner American Ale",1643,0.035,45,319,"American Amber / Red Ale",12,"Banner Beer Company","Williamsburg"," MA"
"Amber Road",533,0.055,35,293,"American Amber / Red Ale",12,"Baxter Brewing Company","Lewiston"," ME"
